"Reporting starts","Reporting ends","Ad set name","Ad set delivery","Attribution setting",Results,"Result indicator",Reach,Frequency,"Cost per results","Ad set budget","Ad set budget type","Amount spent (EGP)",Ends,Starts,Impressions,"CPM (cost per 1,000 impressions) (EGP)","Link clicks",shop_clicks,"CPC (cost per link click) (EGP)","CTR (link click-through rate)","Clicks (all)","CTR (all)","CPC (all) (EGP)","Landing page views","Cost per landing page view (EGP)"
2026-05-19,2026-05-19,"Egypt — W18-35 — Piercing & Jewelry",active,"7-day click, 1-day view, or 1-day engaged-view",24,actions:offsite_conversion.fb_pixel_add_to_cart,2471,1.154998,10.03708333,"Using campaign budget",0,240.89,Ongoing,2026-05-17,2854,84.404345,459,,0.524815,16.082691,506,17.729502,0.476067,291,0.827801
2026-05-18,2026-05-18,"Egypt — W18-35 — Piercing & Jewelry",active,"7-day click, 1-day view, or 1-day engaged-view",62,actions:offsite_conversion.fb_pixel_add_to_cart,4810,1.272557,8.68451613,"Using campaign budget",0,538.44,Ongoing,2026-05-17,6121,87.966019,1108,,0.485957,18.101617,1135,18.542722,0.474396,656,0.820793
2026-05-17,2026-05-17,"Egypt — W18-35 — Piercing & Jewelry",active,"7-day click, 1-day view, or 1-day engaged-view",12,actions:offsite_conversion.fb_pixel_add_to_cart,1212,1.139439,11.775,"Using campaign budget",0,141.3,Ongoing,2026-05-17,1381,102.317161,183,,0.772131,13.251267,183,13.251267,0.772131,84,1.682143
2026-05-16,2026-05-16,"Egypt — W18-35 — Piercing & Jewelry",active,"7-day click, 1-day view, or 1-day engaged-view",,,0,0,,"Using campaign budget",0,0,Ongoing,2026-05-17,0,0,,,,,0,0,0,,
2026-05-15,2026-05-15,"Egypt — W18-35 — Piercing & Jewelry",active,"7-day click, 1-day view, or 1-day engaged-view",,,0,0,,"Using campaign budget",0,0,Ongoing,2026-05-17,0,0,,,,,0,0,0,,
2026-05-14,2026-05-14,"Egypt — W18-35 — Piercing & Jewelry",active,"7-day click, 1-day view, or 1-day engaged-view",,,0,0,,"Using campaign budget",0,0,Ongoing,2026-05-17,0,0,,,,,0,0,0,,
2026-05-13,2026-05-13,"Egypt — W18-35 — Piercing & Jewelry",active,"7-day click, 1-day view, or 1-day engaged-view",,,0,0,,"Using campaign budget",0,0,Ongoing,2026-05-17,0,0,,,,,0,0,0,,
2026-05-12,2026-05-12,"Egypt — W18-35 — Piercing & Jewelry",active,"7-day click, 1-day view, or 1-day engaged-view",,,0,0,,"Using campaign budget",0,0,Ongoing,2026-05-17,0,0,,,,,0,0,0,,
2026-05-11,2026-05-11,"Egypt — W18-35 — Piercing & Jewelry",active,"7-day click, 1-day view, or 1-day engaged-view",,,0,0,,"Using campaign budget",0,0,Ongoing,2026-05-17,0,0,,,,,0,0,0,,
2026-05-10,2026-05-10,"Egypt — W18-35 — Piercing & Jewelry",active,"7-day click, 1-day view, or 1-day engaged-view",,,0,0,,"Using campaign budget",0,0,Ongoing,2026-05-17,0,0,,,,,0,0,0,,
